id;domain;is_legal;is_automated;is_interesting;is_interesting_desc
1017;interpath.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1025;kly8.io;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1033;m3s.gg;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1041;myparcel-tracker.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1049;preview.giggster.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1057;rnpbx.cfd;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
1065;vk.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1073;www.anchorrides.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
914;ami.ag;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
922;fast.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
930;g4m.tv;f;f;f;DATA_INTERESTING_DESC_NO_AD
938;www.phrendly.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
946;247lgm.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
954;msg.uplvlrwd.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
962;api.lik;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
970;chargepoint.app.link;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
978;crono.ws;f;f;t;DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
986;dinevo.es;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
994;www.mahmee.com;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
1002;gna2.net;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1010;hthn.app.link;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1018;investorlift.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1026;kvy0.io;f;f;f;DATA_INTERESTING_DESC_NO_AD
1034;manage.joe.coffee;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1042;n9.cl;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1050;processing-sav.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1058;twoladders-qa.s3.us-east-2.amazona;f;f;t;DATA_INTERESTING_DESC_YES_DISCOVERY
1066;wduose.com;f;f;f;DATA_INTERESTING_DESC_NO_SCAM
915;app.kanguro.com;f;f;t;
923;fcsms.i;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
931;get.raw.app;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
939;www.mercadopago.com.mx;f;f;t;
947;booksy.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
955;rwdrmndrs.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
963;app.dev.recrebox.com;f;f;t;DATA_INTERESTING_DESC_YES_DISCOVERY
971;clck.ru;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
979;cshtr.xyz;f;f;f;DATA_INTERESTING_DESC_NO_AD
987;docs.google.com;f;f;t;DATA_INTERESTING_DESC_YES_PII
995;www.popcorn-dating.com;f;f;t;
1003;go.freeads.co.uk;f;f;t;DATA_INTERESTING_DESC_YES_ACCOUNT_TAKEOVER
1011;hwvj5.com;f;f;f;DATA_INTERESTING_DESC_NO_AD
1019;is.g;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1027;l.armut.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1035;mejorcredito.es;f;f;f;DATA_INTERESTING_DESC_NO_AD
1043;onf.lt;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1051;q-r.to;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
1059;uat.device.proveapis.com:4443;f;f;t;
1067;web.norstatsurveys.com;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
436;dev.foodstock.sh;f;f;f;DATA_INTERESTING_DESC_NO_MISSED_OPPORTUNITY
437;sit-dr.t2s.app;f;f;f;DATA_INTERESTING_DESC_NO_AD
438;onelink.to;f;f;f;DATA_INTERESTING_DESC_NO_AD
439;amazon.com.au;f;f;f;DATA_INTERESTING_DESC_NO_OTHER
